batch	sid1	sid2	ng1	ng2	ng	pcc	spc
batch2a	batch2a_G4	HY26	11141	17847	10800	0.7045800626050014	0.6328327558610606
batch2a	batch2a_F4	HY27	11171	17627	10760	0.7212930943790471	0.654503787650028
batch2a	batch2a_E4	HY28	12305	17735	11800	0.7207211106753912	0.6596165756577402
batch2a	batch2a_D4	HY29	11097	17728	10733	0.7429740889224706	0.6802842463322516
batch2a	batch2a_C4	HY30	11242	17814	10855	0.7337170396025882	0.6617304198350296
batch2a	batch2a_B4	HY31	11539	17854	11136	0.7254879790947337	0.6600016294966042
batch2a	batch2a_A4	HY32	11799	17941	11407	0.7011801661405238	0.6348761133178316
batch2a	batch2a_H5	HY33	11765	17750	11338	0.7302835121843876	0.6745968313669752
batch2a	batch2a_G5	HY34	10782	17817	10446	0.7144357760035625	0.6413318541180948
batch2a	batch2a_F5	HY35	11869	17804	11427	0.7537163082436299	0.6902091294010432
batch2a	batch2a_E5	HY36	11472	17795	10962	0.694873541955594	0.6383201423021453
batch2a	batch2a_D5	HY37	10491	17634	10178	0.6934797624457574	0.6268634938211848
batch2a	batch2a_C5	HY38	11041	17527	10706	0.715813763340839	0.6517133184054782
batch2a	batch2a_B5	HY39	10659	17405	10317	0.7156610497068365	0.6474507256255015
batch2a	batch2a_A5	HY40	10810	17945	10494	0.723518808406056	0.65562446213629
batch2a	batch2a_H6	HY41	10783	17831	10388	0.6880691309588228	0.6301991298541888
batch2a	batch2a_G6	HY42	10477	17672	10170	0.7158591866627749	0.6413053964594876
batch2a	batch2a_F6	HY43	11092	17640	10759	0.7089700998640297	0.6458706563626322
batch2a	batch2a_E6	HY44	12389	17760	11932	0.718304785321812	0.6640583399932767
batch2a	batch2a_D6	HY45	11931	17737	11512	0.7127190660422584	0.6548972542348153
batch2a	batch2a_C6	HY46	12482	17826	11998	0.7395102358705266	0.6852420899315763
batch2a	batch2a_B6	HY47	10518	17956	10211	0.7230359178062784	0.6527086569124297
batch2a	batch2a_A6	HY48	11892	17627	11445	0.7360454108910532	0.6744847218797315
batch2a	batch2a_H7	HY49	12641	17791	12170	0.7235640797281278	0.6723538942005794
batch2a	batch2a_G7	HY50	13265	18220	12791	0.7162815848356571	0.664698721390912
batch2a	batch2a_F7	HY51	13538	18036	12935	0.7525307559365743	0.7013212724166438
batch2a	batch2a_E7	HY52	12209	18010	11792	0.7375408656432018	0.6804993208841248
batch2a	batch2a_D7	HY53	11897	18022	11514	0.7351953159721858	0.6736084637618096
batch2a	batch2a_C7	HY54	10980	17820	10658	0.7237119243040517	0.6536087091691181
batch2a	batch2a_B7	HY55	11572	17895	11220	0.7343756570195177	0.667186376744697
batch2a	batch2a_A7	HY56	11460	17474	11068	0.741626824968697	0.67186663916154
batch2a	batch2a_H8	HY57	12981	17890	12506	0.7857844407461292	0.7328528008691308
batch2a	batch2a_G8	HY58	10423	17931	10155	0.7432357736477403	0.6647963729593397
batch2a	batch2a_F8	HY59	11328	17889	10966	0.7529384079996836	0.6838996523379546
batch2a	batch2a_E8	HY60	11411	17686	11053	0.7576281987623152	0.6850610183840837
batch2a	batch2a_D8	HY61	13217	17874	12703	0.7472348658580383	0.691022979358264
batch2a	batch2a_C8	HY62	11545	17476	11192	0.7393979635633798	0.666372396981938
batch2a	batch2a_B8	HY63	11899	18005	11480	0.7425318994620677	0.6822173032448142
batch2a	batch2a_A8	HY64	11004	17719	10682	0.7545401169464637	0.6779946785223198
batch2b	batch2b_H1	HY65	10706	17886	10426	0.7612922666206808	0.6921014185894484
batch2b	batch2b_G1	HY66	11957	17658	11410	0.7375028298196393	0.6802379142809999
batch2b	batch2b_F1	HY67	11625	18025	11265	0.7334212035029058	0.6596857864014773
batch2b	batch2b_E1	HY68	12077	17733	11543	0.6966880832296134	0.6389033447471715
batch2b	batch2b_D1	HY69	11782	17816	11384	0.7564750371686124	0.692630079798054
batch2b	batch2b_C1	HY70	11872	17852	11405	0.7324788784571884	0.6773954344039408
batch2b	batch2b_B1	HY71	10960	17943	10704	0.7507113779189951	0.6799226675432514
batch2b	batch2b_A1	HY72	11272	17718	10821	0.7217835483759135	0.6560013667955651
batch2b	batch2b_H2	HY73	12148	17731	11707	0.7404820561603007	0.6884951889910326
batch2b	batch2b_G2	HY74	12979	17701	12471	0.7538503041757826	0.7050297589497266
batch2b	batch2b_F2	HY75	11813	17691	11272	0.7048269812173706	0.6506081854452757
batch2b	batch2b_E2	HY76	12200	18173	11712	0.700442403267466	0.6482454112434308
batch2b	batch2b_D2	HY77	12263	17838	11762	0.7226112968695523	0.6680056472884411
batch2b	batch2b_C2	HY78	11779	17780	11331	0.7170756982495481	0.6620188984704073
batch2b	batch2b_B2	HY79	11435	17991	11130	0.72151040696735	0.6551143796117611
batch2b	batch2b_A2	HY80	10749	17623	10342	0.6899536670027367	0.6322238802948745
batch2b	batch2b_H3	HY81	11752	17854	11344	0.7369530350065503	0.6772482063003068
batch2b	batch2b_G3	HY82	11810	17848	11410	0.7434889453418551	0.6851524921149043
batch2b	batch2b_F3	HY83	10864	17802	10551	0.7473112449284426	0.6803299428400906
batch2b	batch2b_E3	HY84	11366	17641	10989	0.7512131414034794	0.6861935493395004
batch2b	batch2b_D3	HY85	11514	17571	11118	0.7111202297511584	0.6509774185679378
batch2b	batch2b_C3	HY86	11369	17716	11034	0.7307896770646379	0.6639278479307972
batch2b	batch2b_B3	HY87	11057	17835	10720	0.7317060404349257	0.6663897343815129
batch2b	batch2b_A3	HY88	11131	18105	10817	0.728760952417802	0.6641337136800685
batch2b	batch2b_H4	HY89	10886	17829	10578	0.752121437051116	0.6874760535421333
batch2b	batch2b_G4	HY90	11827	17751	11414	0.7523935685794751	0.6924521717136096
batch2b	batch2b_E4	HY92	10961	17514	10563	0.7196620820161211	0.6608344160614282
batch2b	batch2b_C4	HY94	11242	17662	10740	0.7046210344340187	0.651477975561766
batch2b	batch2b_B4	HY95	10502	17582	10152	0.7407695891622923	0.6722989182663983
batch2b	batch2b_A4	HY96	11156	17388	10670	0.7111051704786002	0.6554160167100073
batch2b	batch2b_H5	HY97	12464	17964	11932	0.7162150056019779	0.6757281701991753
batch2b	batch2b_G5	HY98	11188	17591	10678	0.6904285107527451	0.640980254054486
batch2b	batch2b_F5	HY99	11335	17382	10923	0.7349716230875076	0.6815067268824834
batch2b	batch2b_E5	HY100	10761	17880	10314	0.6947962404298859	0.6372577002727497
batch2b	batch2b_D5	HY101	10490	17672	10075	0.7059149885849327	0.6415065250379919
batch2b	batch2b_C5	HY102	11711	17289	11085	0.7356466253583918	0.6866549890836501
batch2b	batch2b_B5	HY103	11438	17813	10962	0.6992224446930257	0.6525569065430865
batch2b	batch2b_A5	HY104	10729	17441	10268	0.7092006999946727	0.6509947620968904
batch2b	batch2b_H6	HY105	10926	17442	10453	0.6891886335819146	0.6354750669360695
batch2b	batch2b_G6	HY106	10930	17775	10478	0.703301889210127	0.649521567043337
batch2b	batch2b_F6	HY107	10853	17983	10429	0.7030010956475818	0.6479505119978369
batch2b	batch2b_E6	HY108	11969	17661	11427	0.7174709348204665	0.668257302452705
batch2b	batch2b_D6	HY109	12468	18134	12088	0.6995593609805909	0.6457367815209191
batch2b	batch2b_C6	HY110	13519	17880	12992	0.736798086517768	0.693801033978002
batch2b	batch2b_B6	HY111	11894	18119	11524	0.7173786400327071	0.661706140261722
